node_id	coding	meaning	parent_id	depth	top_branch_id	top_branch_code	selectable	is_target_code
33220	G439	G43.9 Migraine, unspecified	33160	3	920	Block G40-G47	Y	Y
33240	G440	G44.0 Cluster headache syndrome	33230	3	920	Block G40-G47	Y	Y
33250	G441	G44.1 Vascular headache, not elsewhere classified	33230	3	920	Block G40-G47	Y	Y
33260	G442	G44.2 Tension-type headache	33230	3	920	Block G40-G47	Y	Y
33270	G443	G44.3 Chronic posttraumatic headache	33230	3	920	Block G40-G47	Y	Y
33280	G444	G44.4 Drug-induced headache, not elsewhere classified	33230	3	920	Block G40-G47	Y	Y
33290	G448	G44.8 Other specified headache syndromes	33230	3	920	Block G40-G47	Y	Y
33310	G450	G45.0 Vertebro-basilar artery syndrome	33300	3	920	Block G40-G47	Y	Y
33320	G451	G45.1 Carotid artery syndrome (hemispheric)	33300	3	920	Block G40-G47	Y	Y
33330	G452	G45.2 Multiple and bilateral precerebral artery syndromes	33300	3	920	Block G40-G47	Y	Y
33340	G453	G45.3 Amaurosis fugax	33300	3	920	Block G40-G47	Y	Y
33350	G454	G45.4 Transient global amnesia	33300	3	920	Block G40-G47	Y	Y
33360	G458	G45.8 Other transient cerebral ischaemic attacks and related syndromes	33300	3	920	Block G40-G47	Y	Y
33370	G459	G45.9 Transient cerebral ischaemic attack, unspecified	33300	3	920	Block G40-G47	Y	Y
33390	G460	G46.0 Middle cerebral artery syndrome	33380	3	920	Block G40-G47	Y	Y
33400	G461	G46.1 Anterior cerebral artery syndrome	33380	3	920	Block G40-G47	Y	Y
33410	G462	G46.2 Posterior cerebral artery syndrome	33380	3	920	Block G40-G47	Y	Y
33420	G463	G46.3 Brain stem stroke syndrome	33380	3	920	Block G40-G47	Y	Y
33430	G464	G46.4 Cerebellar stroke syndrome	33380	3	920	Block G40-G47	Y	Y
33440	G465	G46.5 Pure motor lacunar syndrome	33380	3	920	Block G40-G47	Y	Y
33450	G466	G46.6 Pure sensory lacunar syndrome	33380	3	920	Block G40-G47	Y	Y
33460	G467	G46.7 Other lacunar syndromes	33380	3	920	Block G40-G47	Y	Y
33470	G468	G46.8 Other vascular syndromes of brain in cerebrovascular diseases	33380	3	920	Block G40-G47	Y	Y
33490	G470	G47.0 Disorders of initiating and maintaining sleep [insomnias]	33480	3	920	Block G40-G47	Y	Y
33500	G471	G47.1 Disorders of excessive somnolence [hypersomnias]	33480	3	920	Block G40-G47	Y	Y
33510	G472	G47.2 Disorders of the sleep-wake schedule	33480	3	920	Block G40-G47	Y	Y
33520	G473	G47.3 Sleep apnoea	33480	3	920	Block G40-G47	Y	Y
33530	G474	G47.4 Narcolepsy and cataplexy	33480	3	920	Block G40-G47	Y	Y
33540	G478	G47.8 Other sleep disorders	33480	3	920	Block G40-G47	Y	Y
33550	G479	G47.9 Sleep disorder, unspecified	33480	3	920	Block G40-G47	Y	Y
33570	G500	G50.0 Trigeminal neuralgia	33560	3	930	Block G50-G59	Y	Y
33580	G501	G50.1 Atypical facial pain	33560	3	930	Block G50-G59	Y	Y
33590	G508	G50.8 Other disorders of trigeminal nerve	33560	3	930	Block G50-G59	Y	Y
33600	G509	G50.9 Disorder of trigeminal nerve, unspecified	33560	3	930	Block G50-G59	Y	Y
33620	G510	G51.0 Bell's palsy	33610	3	930	Block G50-G59	Y	Y
33630	G511	G51.1 Geniculate ganglionitis	33610	3	930	Block G50-G59	Y	Y
33640	G512	G51.2 Melkersson's syndrome	33610	3	930	Block G50-G59	Y	Y
33650	G513	G51.3 Clonic hemifacial spasm	33610	3	930	Block G50-G59	Y	Y
33660	G514	G51.4 Facial myokymia	33610	3	930	Block G50-G59	Y	Y
33670	G518	G51.8 Other disorders of facial nerve	33610	3	930	Block G50-G59	Y	Y
33680	G519	G51.9 Disorder of facial nerve, unspecified	33610	3	930	Block G50-G59	Y	Y
33700	G520	G52.0 Disorders of olfactory nerve	33690	3	930	Block G50-G59	Y	Y
33710	G521	G52.1 Disorders of glossopharyngeal nerve	33690	3	930	Block G50-G59	Y	Y
33720	G522	G52.2 Disorders of vagus nerve	33690	3	930	Block G50-G59	Y	Y
33730	G523	G52.3 Disorders of hypoglossal nerve	33690	3	930	Block G50-G59	Y	Y
33740	G527	G52.7 Disorders of multiple cranial nerves	33690	3	930	Block G50-G59	Y	Y
33750	G528	G52.8 Disorders of other specified cranial nerves	33690	3	930	Block G50-G59	Y	Y
33760	G529	G52.9 Cranial nerve disorder, unspecified	33690	3	930	Block G50-G59	Y	Y
33780	G530	G53.0 Postzoster neuralgia	33770	3	930	Block G50-G59	Y	Y
33790	G531	G53.1 Multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere	33770	3	930	Block G50-G59	Y	Y
33800	G532	G53.2 Multiple cranial nerve palsies in sarcoidosis	33770	3	930	Block G50-G59	Y	Y
33810	G533	G53.3 Multiple cranial nerve palsies in neoplastic disease	33770	3	930	Block G50-G59	Y	Y
33820	G538	G53.8 Other cranial nerve disorders in other diseases classified elsewhere	33770	3	930	Block G50-G59	Y	Y
33840	G540	G54.0 Brachial plexus disorders	33830	3	930	Block G50-G59	Y	Y
33850	G541	G54.1 Lumbosacral plexus disorders	33830	3	930	Block G50-G59	Y	Y
33860	G542	G54.2 Cervical root disorders, not elsewhere classified	33830	3	930	Block G50-G59	Y	Y
33870	G543	G54.3 Thoracic root disorders, not elsewhere classified	33830	3	930	Block G50-G59	Y	Y
33880	G544	G54.4 Lumbosacral root disorders, not elsewhere classified	33830	3	930	Block G50-G59	Y	Y
33890	G545	G54.5 Neuralgic amyotrophy	33830	3	930	Block G50-G59	Y	Y
33900	G546	G54.6 Phantom limb syndrome with pain	33830	3	930	Block G50-G59	Y	Y
33910	G547	G54.7 Phantom limb syndrome without pain	33830	3	930	Block G50-G59	Y	Y
33920	G548	G54.8 Other nerve root and plexus disorders	33830	3	930	Block G50-G59	Y	Y
33930	G549	G54.9 Nerve root and plexus disorder, unspecified	33830	3	930	Block G50-G59	Y	Y
33950	G550	G55.0 Nerve root and plexus compressions in neoplastic disease	33940	3	930	Block G50-G59	Y	Y
33960	G551	G55.1 Nerve root and plexus compressions in intervertebral disk disorders	33940	3	930	Block G50-G59	Y	Y
33970	G552	G55.2 Nerve root and plexus compressions in spondylosis	33940	3	930	Block G50-G59	Y	Y
33980	G553	G55.3 Nerve root and plexus compressions in other dorsopathies	33940	3	930	Block G50-G59	Y	Y
33990	G558	G55.8 Nerve root and plexus compressions in other diseases classified elsewhere	33940	3	930	Block G50-G59	Y	Y
34010	G560	G56.0 Carpal tunnel syndrome	34000	3	930	Block G50-G59	Y	Y
34020	G561	G56.1 Other lesions of median nerve	34000	3	930	Block G50-G59	Y	Y
34030	G562	G56.2 Lesion of ulnar nerve	34000	3	930	Block G50-G59	Y	Y
34040	G563	G56.3 Lesion of radial nerve	34000	3	930	Block G50-G59	Y	Y
34050	G564	G56.4 Causalgia	34000	3	930	Block G50-G59	Y	Y
34060	G568	G56.8 Other mononeuropathies of upper limb	34000	3	930	Block G50-G59	Y	Y
34070	G569	G56.9 Mononeuropathy of upper limb, unspecified	34000	3	930	Block G50-G59	Y	Y
34090	G570	G57.0 Lesion of sciatic nerve	34080	3	930	Block G50-G59	Y	Y
34100	G571	G57.1 Meralgia paraesthetica	34080	3	930	Block G50-G59	Y	Y
34110	G572	G57.2 Lesion of femoral nerve	34080	3	930	Block G50-G59	Y	Y
34120	G573	G57.3 Lesion of lateral popliteal nerve	34080	3	930	Block G50-G59	Y	Y
34130	G574	G57.4 Lesion of medial popliteal nerve	34080	3	930	Block G50-G59	Y	Y
34140	G575	G57.5 Tarsal tunnel syndrome	34080	3	930	Block G50-G59	Y	Y
34150	G576	G57.6 Lesion of plantar nerve	34080	3	930	Block G50-G59	Y	Y
34160	G578	G57.8 Other mononeuropathies of lower limb	34080	3	930	Block G50-G59	Y	Y
34170	G579	G57.9 Mononeuropathy of lower limb, unspecified	34080	3	930	Block G50-G59	Y	Y
34190	G580	G58.0 Intercostal neuropathy	34180	3	930	Block G50-G59	Y	Y
34200	G587	G58.7 Mononeuritis multiplex	34180	3	930	Block G50-G59	Y	Y
34210	G588	G58.8 Other specified mononeuropathies	34180	3	930	Block G50-G59	Y	Y
34220	G589	G58.9 Mononeuropathy, unspecified	34180	3	930	Block G50-G59	Y	Y
34240	G590	G59.0 Diabetic mononeuropathy	34230	3	930	Block G50-G59	Y	Y
34250	G598	G59.8 Other mononeuropathies in diseases classified elsewhere	34230	3	930	Block G50-G59	Y	Y
34270	G600	G60.0 Hereditary motor and sensory neuropathy	34260	3	940	Block G60-G64	Y	Y
34280	G601	G60.1 Refsum's disease	34260	3	940	Block G60-G64	Y	Y
34290	G602	G60.2 Neuropathy in association with hereditary ataxia	34260	3	940	Block G60-G64	Y	Y
34300	G603	G60.3 Idiopathic progressive neuropathy	34260	3	940	Block G60-G64	Y	Y
34310	G608	G60.8 Other hereditary and idiopathic neuropathies	34260	3	940	Block G60-G64	Y	Y
