node_id	coding	meaning	parent_id	depth	top_branch_id	top_branch_code	selectable	is_target_code
13000	C166	C16.6 Greater curvature of stomach, unspecified	12930	3	450	Block C15-C26	Y	Y
13010	C168	C16.8 Overlapping lesion of stomach	12930	3	450	Block C15-C26	Y	Y
13020	C169	C16.9 Stomach, unspecified	12930	3	450	Block C15-C26	Y	Y
13040	C170	C17.0 Duodenum	13030	3	450	Block C15-C26	Y	Y
13050	C171	C17.1 Jejunum	13030	3	450	Block C15-C26	Y	Y
13060	C172	C17.2 Ileum	13030	3	450	Block C15-C26	Y	Y
13070	C173	C17.3 Meckel's diverticulum	13030	3	450	Block C15-C26	Y	Y
13080	C178	C17.8 Overlapping lesion of small intestine	13030	3	450	Block C15-C26	Y	Y
13090	C179	C17.9 Small intestine, unspecified	13030	3	450	Block C15-C26	Y	Y
13110	C180	C18.0 Caecum	13100	3	450	Block C15-C26	Y	Y
13120	C181	C18.1 Appendix	13100	3	450	Block C15-C26	Y	Y
13130	C182	C18.2 Ascending colon	13100	3	450	Block C15-C26	Y	Y
13140	C183	C18.3 Hepatic flexure	13100	3	450	Block C15-C26	Y	Y
13150	C184	C18.4 Transverse colon	13100	3	450	Block C15-C26	Y	Y
13160	C185	C18.5 Splenic flexure	13100	3	450	Block C15-C26	Y	Y
13170	C186	C18.6 Descending colon	13100	3	450	Block C15-C26	Y	Y
13180	C187	C18.7 Sigmoid colon	13100	3	450	Block C15-C26	Y	Y
13190	C188	C18.8 Overlapping lesion of colon	13100	3	450	Block C15-C26	Y	Y
13200	C189	C18.9 Colon, unspecified	13100	3	450	Block C15-C26	Y	Y
13240	C210	C21.0 Anus, unspecified	13230	3	450	Block C15-C26	Y	Y
13250	C211	C21.1 Anal canal	13230	3	450	Block C15-C26	Y	Y
13260	C212	C21.2 Cloacogenic zone	13230	3	450	Block C15-C26	Y	Y
13270	C218	C21.8 Overlapping lesion of rectum, anus and anal canal	13230	3	450	Block C15-C26	Y	Y
13290	C220	C22.0 Liver cell carcinoma	13280	3	450	Block C15-C26	Y	Y
13300	C221	C22.1 Intrahepatic bile duct carcinoma	13280	3	450	Block C15-C26	Y	Y
13310	C222	C22.2 Hepatoblastoma	13280	3	450	Block C15-C26	Y	Y
13320	C223	C22.3 Angiosarcoma of liver	13280	3	450	Block C15-C26	Y	Y
13330	C224	C22.4 Other sarcomas of liver	13280	3	450	Block C15-C26	Y	Y
13340	C227	C22.7 Other specified carcinomas of liver	13280	3	450	Block C15-C26	Y	Y
13350	C229	C22.9 Liver, unspecified	13280	3	450	Block C15-C26	Y	Y
13380	C240	C24.0 Extrahepatic bile duct	13370	3	450	Block C15-C26	Y	Y
13390	C241	C24.1 Ampulla of Vater	13370	3	450	Block C15-C26	Y	Y
13400	C248	C24.8 Overlapping lesion of biliary tract	13370	3	450	Block C15-C26	Y	Y
13410	C249	C24.9 Biliary tract, unspecified	13370	3	450	Block C15-C26	Y	Y
13430	C250	C25.0 Head of pancreas	13420	3	450	Block C15-C26	Y	Y
13440	C251	C25.1 Body of pancreas	13420	3	450	Block C15-C26	Y	Y
13450	C252	C25.2 Tail of pancreas	13420	3	450	Block C15-C26	Y	Y
13460	C253	C25.3 Pancreatic duct	13420	3	450	Block C15-C26	Y	Y
13470	C254	C25.4 Endocrine pancreas	13420	3	450	Block C15-C26	Y	Y
13480	C257	C25.7 Other parts of pancreas	13420	3	450	Block C15-C26	Y	Y
13490	C258	C25.8 Overlapping lesion of pancreas	13420	3	450	Block C15-C26	Y	Y
13500	C259	C25.9 Pancreas, unspecified	13420	3	450	Block C15-C26	Y	Y
13520	C260	C26.0 Intestinal tract, part unspecified	13510	3	450	Block C15-C26	Y	Y
13530	C261	C26.1 Spleen	13510	3	450	Block C15-C26	Y	Y
13540	C268	C26.8 Overlapping lesion of digestive system	13510	3	450	Block C15-C26	Y	Y
13550	C269	C26.9 Ill-defined sites within the digestive system	13510	3	450	Block C15-C26	Y	Y
13570	C300	C30.0 Nasal cavity	13560	3	460	Block C30-C39	Y	Y
13580	C301	C30.1 Middle ear	13560	3	460	Block C30-C39	Y	Y
13600	C310	C31.0 Maxillary sinus	13590	3	460	Block C30-C39	Y	Y
13610	C311	C31.1 Ethmoidal sinus	13590	3	460	Block C30-C39	Y	Y
13620	C312	C31.2 Frontal sinus	13590	3	460	Block C30-C39	Y	Y
13630	C313	C31.3 Sphenoidal sinus	13590	3	460	Block C30-C39	Y	Y
13640	C318	C31.8 Overlapping lesion of accessory sinuses	13590	3	460	Block C30-C39	Y	Y
13650	C319	C31.9 Accessory sinus, unspecified	13590	3	460	Block C30-C39	Y	Y
13670	C320	C32.0 Glottis	13660	3	460	Block C30-C39	Y	Y
13680	C321	C32.1 Supraglottis	13660	3	460	Block C30-C39	Y	Y
13690	C322	C32.2 Subglottis	13660	3	460	Block C30-C39	Y	Y
13700	C323	C32.3 Laryngeal cartilage	13660	3	460	Block C30-C39	Y	Y
13710	C328	C32.8 Overlapping lesion of larynx	13660	3	460	Block C30-C39	Y	Y
13720	C329	C32.9 Larynx, unspecified	13660	3	460	Block C30-C39	Y	Y
13750	C340	C34.0 Main bronchus	13740	3	460	Block C30-C39	Y	Y
13760	C341	C34.1 Upper lobe, bronchus or lung	13740	3	460	Block C30-C39	Y	Y
13770	C342	C34.2 Middle lobe, bronchus or lung	13740	3	460	Block C30-C39	Y	Y
13780	C343	C34.3 Lower lobe, bronchus or lung	13740	3	460	Block C30-C39	Y	Y
13790	C348	C34.8 Overlapping lesion of bronchus and lung	13740	3	460	Block C30-C39	Y	Y
13800	C349	C34.9 Bronchus or lung, unspecified	13740	3	460	Block C30-C39	Y	Y
13830	C380	C38.0 Heart	13820	3	460	Block C30-C39	Y	Y
13840	C381	C38.1 Anterior mediastinum	13820	3	460	Block C30-C39	Y	Y
13850	C382	C38.2 Posterior mediastinum	13820	3	460	Block C30-C39	Y	Y
13860	C383	C38.3 Mediastinum, part unspecified	13820	3	460	Block C30-C39	Y	Y
