id1,id2,weight
43830,43810,1.0
43840,1200,1.0
43840,43810,1.0
43850,1200,1.0
43850,43810,1.0
43860,1200,1.0
43860,43810,1.0
43870,1200,1.0
43870,43810,1.0
43880,1200,1.0
43880,43810,1.0
43890,1200,1.0
43890,43810,1.0
43900,1200,1.0
43900,90,1.0
43910,1200,1.0
43910,43900,1.0
43920,1200,1.0
43920,43900,1.0
43930,1200,1.0
43930,43900,1.0
43940,1200,1.0
43940,43900,1.0
43950,1200,1.0
43950,43900,1.0
43960,1200,1.0
43960,43900,1.0
43970,1200,1.0
43970,43900,1.0
43980,1200,1.0
43980,43900,1.0
43990,1200,1.0
43990,43900,1.0
44000,1200,1.0
44000,90,1.0
44010,1200,1.0
44010,44000,1.0
44020,1200,1.0
44020,44000,1.0
44030,1200,1.0
44030,44000,1.0
44040,1200,1.0
44040,44000,1.0
44050,1200,1.0
44050,90,1.0
44060,1200,1.0
44060,44050,1.0
44070,1200,1.0
44070,44050,1.0
44080,1200,1.0
44080,44050,1.0
44090,1200,1.0
44090,44050,1.0
44100,1210,1.0
44100,90,1.0
44110,1210,1.0
44110,44100,1.0
44120,1210,1.0
44120,44100,1.0
44130,1210,1.0
44130,44100,1.0
44140,1210,1.0
44140,44100,1.0
44150,1210,1.0
44150,44100,1.0
44160,1210,1.0
44160,44100,1.0
44170,1210,1.0
44170,90,1.0
44180,1210,1.0
44180,90,1.0
44190,1210,1.0
44190,44180,1.0
44200,1210,1.0
44200,44180,1.0
44210,1210,1.0
44210,44180,1.0
44220,1210,1.0
44220,44180,1.0
44230,1210,1.0
44230,44180,1.0
44240,1210,1.0
44240,44180,1.0
44250,1210,1.0
44250,90,1.0
44260,1210,1.0
44260,44250,1.0
44270,1210,1.0
44270,44250,1.0
44280,1210,1.0
44280,44250,1.0
44290,1210,1.0
44290,44250,1.0
44300,1210,1.0
44300,90,1.0
44310,1210,1.0
44310,44300,1.0
44320,1210,1.0
44320,44300,1.0
44330,1210,1.0
44330,44300,1.0
44340,1210,1.0
44340,44300,1.0
44350,1210,1.0
44350,44300,1.0
44360,1210,1.0
44360,44300,1.0
44370,1210,1.0
44370,44300,1.0
44380,1210,1.0
44380,44300,1.0
44390,1210,1.0
44390,44300,1.0
44400,1210,1.0
44400,44300,1.0
44410,1210,1.0
44410,90,1.0
44420,1210,1.0
44420,44410,1.0
44430,1210,1.0
44430,44410,1.0
44440,1210,1.0
44440,90,1.0
44450,1210,1.0
44450,44440,1.0
44460,1210,1.0
44460,44440,1.0
44470,1210,1.0
44470,44440,1.0
44480,1210,1.0
44480,44440,1.0
44490,1210,1.0
44490,44440,1.0
44500,1210,1.0
44500,44440,1.0
44510,1210,1.0
44510,90,1.0
44520,1210,1.0
44520,44510,1.0
44530,1210,1.0
44530,44510,1.0
44540,1210,1.0
44540,44510,1.0
44550,1210,1.0
44550,44510,1.0
44560,1210,1.0
44560,44510,1.0
44570,1210,1.0
44570,90,1.0
44580,1210,1.0
44580,44570,1.0
44590,1210,1.0
44590,44570,1.0
44600,1210,1.0
44600,44570,1.0
44610,1210,1.0
44610,44570,1.0
44620,1210,1.0
44620,90,1.0
44630,1210,1.0
44630,44620,1.0
44640,1210,1.0
44640,44620,1.0
44650,1210,1.0
44650,44620,1.0
44660,1210,1.0
44660,44620,1.0
44670,1220,1.0
44670,90,1.0
44680,1220,1.0
44680,44670,1.0
44690,1220,1.0
44690,44670,1.0
44700,1220,1.0
44700,44670,1.0
44710,1220,1.0
44710,44670,1.0
44720,1220,1.0
44720,44670,1.0
44730,1220,1.0
44730,90,1.0
44740,1220,1.0
44740,44730,1.0
44750,1220,1.0
44750,44730,1.0
44760,1220,1.0
44760,44730,1.0
44770,1220,1.0
44770,44730,1.0
44780,1220,1.0
44780,44730,1.0
44790,1220,1.0
44790,90,1.0
44800,1220,1.0
44800,44790,1.0
44810,1220,1.0
44810,44790,1.0
44820,1220,1.0
44820,44790,1.0
44830,1220,1.0
44830,44790,1.0
44840,1220,1.0
44840,44790,1.0
44850,1220,1.0
44850,90,1.0
